price,speed,hd,ram,screen,ads
1499,25,80,4,14,94
1795,33,85,2,14,94
1595,25,170,4,15,94
1849,25,170,8,14,94
3295,33,340,16,14,94
3695,66,340,16,14,94
1720,25,170,4,14,94
1995,50,85,2,14,94
2225,50,210,8,14,94
2575,50,210,4,15,94
2195,33,170,8,15,94
2605,66,210,8,14,94
2045,50,130,4,14,94
2295,25,245,8,14,94
2699,50,212,8,14,94
2225,50,130,4,14,94
1595,33,85,2,14,94
2325,33,210,4,15,94
2095,33,250,4,15,94
4395,66,452,8,14,94
1695,33,130,4,14,94
2795,66,130,4,14,94
2895,25,340,16,14,94
2875,50,210,4,17,94
4195,50,452,8,14,94
1290,33,80,2,14,94
1975,33,130,4,14,94
3995,33,452,8,14,94
3095,33,340,16,14,94
3244,66,245,8,14,94
1920,33,170,4,14,94
1995,25,130,4,14,94
2595,33,210,8,17,94
2475,50,210,4,15,94
1999,33,170,4,14,94
2675,66,210,4,15,94
2325,66,210,8,14,94
3795,66,500,8,14,94
2405,50,210,8,14,94
2425,50,210,8,14,94
2895,50,245,8,14,94
3895,66,500,8,15,94
2499,33,212,8,14,94
2255,33,210,8,14,94
3495,50,340,16,14,94
2695,33,245,8,14,94
2195,33,130,4,14,94
1749,25,120,4,14,94
2399,50,212,4,14,94
1995,33,250,4,14,94
2499,33,170,4,14,94
2395,33,130,4,14,94
2995,66,340,8,15,94
2190,33,210,4,14,94
2199,33,212,8,14,94
2125,50,130,4,14,94
2045,66,130,4,14,94
3075,66,210,4,17,94
2945,66,210,8,17,94
1945,50,130,4,14,94
3990,66,330,8,15,94
1795,33,170,4,15,94
2495,33,250,8,15,94
2220,33,250,4,14,94
2195,66,85,2,14,94
1495,25,170,4,14,94
2325,66,130,4,14,94
1499,25,120,4,14,94
2199,33,212,4,14,94
3095,66,245,8,14,94
4020,66,500,8,14,94
2725,33,210,4,17,94
1695,33,170,4,14,94
3044,50,245,8,14,94
2999,50,170,4,14,94
2844,33,245,8,14,94
1975,33,210,8,14,94
3220,66,340,8,15,94
2595,50,130,4,14,94
1629,25,80,8,14,94
3399,66,230,4,15,94
2495,33,245,8,14,94
2990,66,210,8,15,94
2720,33,250,8,15,94
2595,25,245,8,14,94
1999,33,120,8,14,94
2075,33,210,8,14,94
1795,33,130,4,14,94
1395,25,85,2,14,94
3490,50,330,8,14,94
2975,50,210,4,17,94
2145,66,130,4,14,94
2420,33,170,8,15,94
2505,50,210,8,14,94
2995,66,340,16,14,95
1495,25,170,4,14,95
1999,33,170,4,14,95
1920,33,170,4,14,95
2595,25,340,16,14,95
1695,33,170,4,14,95
1995,33,250,4,14,95
2195,25,245,8,14,95
1795,66,85,2,14,95
2999,66,330,4,15,95
1395,25,85,2,14,95
2995,66,250,8,17,95
2699,50,212,8,14,95
1720,25,170,4,14,95
2045,66,170,4,14,95
2145,66,170,4,14,95
2995,66,340,8,15,95
